fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
Online Soccer Manager (OSM);sports;gamebasics bv;1;1;1;0;10000000;0;4.5;1656120;100;14;4;2;7
Hungry Shark Evolution;arcade;ubisoft entertainment;1;1;0;16;100000000;0;4.5;6495234;100;13;6;2;7
Zynga Poker � Free Texas Holdem Online Card Games;casino;zynga;1;1;1;12;50000000;0;4.5;2315552;100;15;5;1;8
Sudoku - The Clean One;puzzle;dustland design;1;1;0;0;1000000;0;4.6;6639;100;19;6;2;3
8 Ball Pool;sports;miniclip.com;1;1;0;0;500000000;0;4.5;17053699;100;13;5;2;8
VR Thrills: Roller Coaster 360 (Google Cardboard);simulation;rabbit mountain;1;1;1;0;10000000;0;3.4;35012;100;24;22;17;58
94% - Quiz, Trivia & Logic;trivia;scimob;1;1;0;0;10000000;0;4.6;2498627;100;25;8;1;2
PUBG MOBILE;action;tencent games;1;0;1;16;100000000;0;4.3;21900921;100;9;4;2;15
slither.io;action;lowtech studios;1;1;0;0;100000000;0;4.2;5834978;100;17;10;4;15
Rick and Morty: Pocket Mortys;simulation;[adult swim] games;1;1;0;12;10000000;0;4.3;234239;100;19;9;4;14
Garena Free Fire - Anniversary;action;garena international i private limited;1;0;1;12;100000000;0;4.3;35095634;100;9;5;3;14
Trials Frontier;racing;ubisoft entertainment;1;1;0;7;10000000;0;4.4;1096370;100;17;8;3;11
Switch;trivia;vrt;1;1;0;0;100000;0;4.4;4793;100;56;10;2;7
Jumpr!;action;magicant.inc;1;1;0;0;1000000;0;3.8;3383;100;43;35;18;24
Happy Glass;puzzle;lion studios;1;1;0;0;100000000;0;4.0;720356;100;26;16;8;22
Score! Hero;sports;first touch games ltd.;1;1;0;0;100000000;0;4.4;6050471;100;15;7;3;11
Kick the Buddy;action;playgendary;1;1;0;7;100000000;0;4.0;2198759;100;14;10;6;23
Score! Match;sports;first touch games ltd.;1;1;0;0;10000000;0;4.2;496531;100;21;9;4;19
BBTAN : 7Years;arcade;111%;1;1;0;0;1000000;0;4.0;5636;100;25;17;8;24
Old School RuneScape;adventure;jagex games studio;1;0;1;16;1000000;0;4.6;53827;100;10;3;1;6
Minesweeper;puzzle;evgeny karavashkin;0;1;0;0;5000000;0;4.7;235476;100;20;5;1;2
Tank Hero: Laser Wars;arcade;clapfoot inc.;0;1;0;0;5000000;0;4.6;163505;100;13;5;1;5
BBTAN by 111%;arcade;111%;1;1;0;0;10000000;0;4.5;467351;100;16;7;1;7
VR Racer - Highway Traffic 360 (Google Cardboard);racing;rabbit mountain;0;1;0;0;1000000;0;3.2;3716;100;25;41;23;75
SingStar� Mic;music;playstation mobile inc.;0;0;0;0;1000000;0;3.5;24787;100;16;12;9;52
Hexar.io - io games;arcade;mochibits;1;1;1;0;10000000;0;4.3;277952;100;17;10;3;14
Real Racing  3;racing;electronic arts;1;0;0;0;100000000;0;4.5;6178910;100;14;5;2;8
Trailer Park Boys: Greasy Money - Tap & Make Cash;simulation;east side games studio;1;1;0;16;1000000;0;4.6;228469;100;21;6;1;3
Last Day on Earth: Survival;action;kefir!;1;0;0;16;50000000;0;4.5;3409129;100;17;6;2;8
PIXEL'S UNKNOWN BATTLE GROUND;action;azur interactive games limited;1;1;0;12;10000000;0;4.1;484636;100;10;7;5;24
Motorsport Manager Mobile;racing;christian west;1;0;0;12;1000000;0;4.5;95579;100;27;7;3;5
Checkers;board;chess & checkers lukasz oktaba;1;1;0;7;50000000;0;4.4;650767;100;20;8;3;7
FR Legends;racing;twin turbo tech co., ltd;1;1;0;0;1000000;0;4.5;63315;100;15;6;2;7
Cut It: Brain Puzzles;puzzle;super game studios;1;1;0;0;5000000;0;4.4;115497;100;15;8;4;10
Real Moto;racing;dreamplay games;1;1;0;0;10000000;0;4.1;166795;100;22;13;5;21
PAKO 2;racing;tree men games;1;1;0;7;1000000;0;3.7;22232;100;38;25;16;31
Motorsport Manager Mobile 3;racing;playsport games;1;0;0;12;100000;4.49;4.6;16801;100;18;5;1;5
Gangstar New Orleans OpenWorld;action;gameloft se;1;1;1;18;10000000;0;4.2;461151;100;15;8;4;17
Hitman Sniper;action;square enix ltd;1;1;0;18;10000000;0.99;4.5;733331;100;17;6;2;7
My Colony;simulation;brandon stecklein;1;1;0;0;1000000;0;4.1;45959;100;31;11;5;20
Gold Rush Sim - Klondike Yukon gold rush simulator;simulation;a&b development;1;1;0;0;100000;0;3.9;3565;100;47;37;10;20
2048;puzzle;androbaby;1;1;0;0;10000000;0;4.7;234639;100;14;3;1;2
Escape Room: Mystery Word;word;worzzle team;1;1;0;0;10000000;0;4.3;124644;100;8;5;3;15
EMERGENCY HQ - free rescue strategy game;strategy;promotion software gmbh;1;1;1;7;1000000;0;4.4;81298;100;26;9;3;8
TRIVIA 360;trivia;smart owl apps;1;1;0;0;5000000;0;4.5;8926;100;43;10;2;3
Hempire - Plant Growing Game;simulation;lbc studios inc.;1;1;0;18;5000000;0;4.7;20366;100;8;3;1;3
Bubble Shooter;casual;bubble shooter;1;1;0;0;100000000;0;4.2;629834;100;24;14;6;15
Pok�mon GO;adventure;niantic, inc.;1;0;1;0;100000000;0;4.2;12326476;100;19;8;4;17
Bejeweled Stars: Free Match 3;puzzle;electronic arts;1;1;1;0;1000000;0;4.5;10221;100;25;8;2;4
Just Dance Controller;music;ubisoft entertainment;0;0;0;0;5000000;0;3.6;8219;100;15;12;9;50
Knowledge is Power;trivia;playstation mobile inc.;0;0;0;12;1000000;0;4.5;11371;100;17;5;2;8
Clash Royale;strategy;supercell;1;0;1;7;100000000;0;4.3;27311025;100;16;7;3;14
Clash of Clans;strategy;supercell;1;0;1;7;500000000;0;4.6;50202117;100;11;4;1;6
Hey Love Adam: Texting Game;simulation;nutnut;1;1;0;12;1000000;0;4.5;98861;100;23;8;2;5
Not Not - A Brain-Buster;puzzle;altshift;1;1;0;0;5000000;0;4.4;53825;100;16;8;3;7
YAHTZEE� With Buddies Dice Game;board;scopely;1;1;0;0;5000000;0;4.3;115956;100;25;10;5;10
Domino;arcade;ketchapp;1;1;0;0;1000000;0;3.8;10361;100;16;12;6;37
Marble Solitaire;puzzle;panagola;1;1;0;0;1000000;0;4.4;8273;100;27;11;2;7
Hole.io;arcade;voodoo;1;1;0;12;50000000;0;4.4;777198;100;21;8;3;8
Dot to Dot : Connect the Dots;puzzle;dot to dot s.r.o.;1;1;0;0;5000000;0;4.1;80235;100;24;14;7;20
Solitaire;card;zynga;1;1;0;0;50000000;0;4.3;632907;100;19;8;2;13
Coin Dozer - Free Prizes;casino;game circus llc;1;1;0;12;50000000;0;4.6;1333357;100;12;5;1;4
Design Home;simulation;crowdstar inc;1;1;1;0;10000000;0;4.4;733062;100;30;9;3;5
Yatzy - Offline Free Dice Games;board;sng games;0;1;0;12;100000;0;4.5;16226;100;27;8;2;4
Bubble Shooter Classic Free;arcade;absolutist ltd;1;1;0;0;100000;0;4.2;2306;100;32;19;7;8
Mastermind;board;rottz games;1;1;0;0;1000000;0;4.6;18467;100;29;4;1;2
Bubble Shooter;casual;candy bubble studio;0;1;0;7;50000000;0;4.3;426723;100;19;11;4;10
Chess;board;chess & checkers lukasz oktaba;1;1;0;0;1000000;0;4.5;56086;100;29;8;2;6
What's my IQ? <U+0001F4AF>;puzzle;klikapp;0;1;0;0;1000000;0;3.8;7692;100;27;13;9;35
Mastermind Remastered;board;eggies;0;1;0;0;1000;0;4.4;25;100;5;35;5;0
Carmageddon;action;handygames;1;1;0;18;1000000;0;4.7;83185;100;10;3;1;4
Color Road;arcade;voodoo;1;1;0;0;10000000;0;4.0;207661;100;16;9;7;26
Candy Crush Saga;casual;king;1;0;1;0;500000000;0;4.6;26231459;100;18;6;1;3
LogiBrain Binary;puzzle;pijappi;1;1;0;0;50000;0;4.6;831;100;29;8;2;1
HQ - Trivia & Words;trivia;intermedia labs;1;0;1;0;5000000;0;3.3;29057;100;41;31;28;66
TETRIS;puzzle;electronic arts;1;1;0;0;10000000;0;3.9;368826;100;29;14;8;30
Block! Hexa Puzzle�;puzzle;bitmango;1;1;0;0;50000000;0;4.4;509846;100;24;10;3;9
Puzzle IO Binairo Sudoku;board;99 up games;1;1;0;0;10000;0;4.5;1186;100;39;10;3;2
Rummikub;board;kinkajoo;1;1;0;0;1000000;0;4.4;36681;100;10;5;2;13
Mazes & More;puzzle;leo de sol games;1;1;0;0;50000000;0;4.3;475042;100;18;10;4;11
Riddles - Just 500 Riddles;trivia;tla quiz n button;0;1;0;0;1000000;0;4.4;34519;100;25;11;2;6
Find the Differences 500 levels;puzzle;pandoragames;0;1;0;0;10000000;0;4.5;352832;100;28;9;1;3
Block Puzzle;puzzle;fast fun;0;1;0;0;10000000;0;4.5;191429;100;20;7;2;5
Mr. Binairo - Binary Sudoku Puzzle;puzzle;appsparagus;0;1;0;0;50000;0;4.6;593;100;25;3;0;6
Block Party - Free Block Combination Puzzle;puzzle;22to2freegames;0;1;0;0;50000;0;3.4;201;100;23;28;2;63
Solitaire: Super Challenges;card;queens solitaire games;1;1;0;0;1000000;0;4.6;97153;100;29;6;1;2
United States Quiz;trivia;true mind game;1;1;0;0;100000;0;4.3;469;100;24;11;2;11
50 US States Map, Capitals & Flags - American Quiz;trivia;andrey solovyev;0;1;0;0;500000;0;4.5;3789;100;17;6;2;5
Learn Chess: From Beginner to Club Player;educational;chess king;1;1;0;0;1000000;0;4.3;9225;100;23;7;2;12
Math Puzzles;puzzle;applabs;0;1;0;0;1000000;0;4.2;1947;100;42;14;3;12
World Map Quiz;trivia;qbis studio;1;1;0;0;1000000;0;4.4;20256;100;21;7;4;7
Art Challenge;educational;ruben babaev;0;0;0;18;100000;0;4.3;105;100;36;12;6;9
Agar.io;action;miniclip.com;1;1;0;0;100000000;0;4.1;3930189;100;15;10;4;22
Uphill Rush Water Park Racing;racing;spil games;1;1;0;0;50000000;0;4.1;59308;100;15;10;5;18
Cut the Rope 2;puzzle;zeptolab;1;1;0;0;100000000;0;4.6;2245139;100;13;5;1;4
Crayon Scratch;educational;cat lab;0;1;0;0;1000;0;3.9;18;100;20;20;20;20
Thinkrolls: Kings & Queens;puzzle;avokiddo;1;0;0;0;500000;0;3.8;479;100;17;15;11;30
Woord Kruis;word;weplay word games;1;1;0;0;500000;0;4.5;6897;100;9;4;2;7
Word Game - Addictive Puzzle & Merge Fun;word;worzzle team;1;1;0;0;100000;0;4.5;2475;100;7;6;1;9
Microsoft Solitaire Collection;card;microsoft corporation;1;1;0;0;1000000;0;4.5;110375;100;15;4;2;7
Sokoban;puzzle;fredrik fornwall;0;1;0;0;100000;0;4.4;925;100;20;2;5;8
Magic Tiles 3;music;amanotes;1;1;0;0;100000000;0;4.2;1135889;100;13;8;4;16
Subway Surfers;arcade;kiloo;1;1;0;0;1000000000;0;4.5;31093927;100;12;5;2;7
Puzzle Game;strategy;mahjong solitaire mahjongg;0;1;0;0;10000000;0;4.3;210917;100;23;13;4;9
Cash, Inc. Money Clicker Game & Business Adventure;simulation;lion studios;1;1;0;12;10000000;0;4.7;1080141;100;7;3;1;4
Idle Miner Tycoon - Mine Manager Simulator;simulation;kolibri games;1;1;0;0;50000000;0;4.7;2039041;100;14;5;1;2
One More Brick;arcade;rifter games;1;1;0;0;5000000;0;4.5;62629;100;19;6;2;8
Idle Farming Empire;simulation;futureplay;1;1;0;0;10000000;0;4.4;301129;100;18;9;3;10
Human Evolution Clicker Game: Rise of Mankind;arcade;wazzapps;1;1;0;0;10000000;0;4.3;403668;100;18;9;4;12
Idle City Empire;simulation;futureplay;1;1;0;0;5000000;0;4.4;104356;100;16;7;3;9
Solitaire;card;mobilityware;1;1;0;0;100000000;0;4.5;1501308;100;30;6;1;4
Nonstop Balls;arcade;thinkcube inc.;1;1;0;12;5000000;0;4.2;28401;100;13;6;4;17
Shatterbrain - Physics Puzzles;puzzle;orbital nine games;1;1;0;0;1000000;0;4.0;18505;100;37;13;8;19
Idle Factory Tycoon;simulation;kolibri games;1;1;0;0;5000000;0;4.5;208628;100;15;7;2;6
2048 Bricks;puzzle;ketchapp;1;1;0;0;100000;0;4.5;206;100;22;8;2;6
Forge of Empires;strategy;innogames gmbh;1;0;1;7;10000000;0;4.4;788231;100;29;7;3;8
Homescapes;casual;playrix;1;1;1;0;100000000;0;4.4;6491163;100;19;7;2;10
Helix Jump;action;voodoo;1;1;0;0;100000000;0;4.1;4118644;100;18;10;5;19
BBTAN2 by 222%;arcade;111%;1;1;0;0;1000000;0;4.2;9189;100;33;14;6;13
Toy Blast;puzzle;peak;1;0;0;0;50000000;0;4.7;2450190;100;14;5;1;2
The Fish Master!;arcade;voodoo;1;1;0;0;5000000;0;4.1;59194;100;17;8;3;22
Paper.io 2;arcade;voodoo;1;1;0;0;100000000;0;4.2;1293655;100;21;11;5;16
Golf Clash;sports;playdemic;1;1;0;0;10000000;0;4.4;1740707;100;34;10;3;7
SimCity BuildIt;simulation;electronic arts;1;1;1;7;50000000;0;4.5;4773670;100;23;8;2;7
Angry Birds Friends;arcade;rovio entertainment corporation;1;1;0;0;50000000;0;4.4;888721;100;18;8;3;9
Infinite Flight - Flight Simulator;simulation;infinite flight llc;1;0;0;0;500000;5.49;3.9;62328;100;27;15;9;26
Castle Crush: Free Strategy Card Games;strategy;fun games for free;1;0;1;12;10000000;0;4.4;1010812;100;17;8;3;10
Bejeweled Classic;casual;electronic arts;1;1;0;0;5000000;0;4.5;222441;100;22;5;2;7
GOdroid;board;andreas grothe;0;0;0;0;1000000;0;4.0;7851;100;22;15;7;24
Bubble Breaker;casual;face plus;0;1;0;0;5000000;0;4.4;24731;100;21;8;3;7
Clue;board;marmalade game studio;1;0;0;7;100000;2.29;4.4;28144;100;25;7;2;7
Sudoku Free;puzzle;studio five27, llc (new);0;0;0;0;500000;0;3.9;1336;100;27;10;6;30
Coding Planets;puzzle;min thura zaw;0;0;0;0;100000;0;4.3;2109;100;30;10;5;8
Space Frontier;arcade;ketchapp;1;1;0;0;10000000;0;3.8;9988;100;27;18;10;33
Sudoku;puzzle;genina.com;1;1;0;0;10000000;0;4.7;566162;100;24;2;0;1
Sling Kong;arcade;protostar;1;1;0;0;5000000;0;4.5;23446;100;16;6;2;6
Physics Drop;puzzle;idc games;1;1;0;0;10000000;0;4.0;182503;100;16;13;5;28
Temple Run 2;action;imangi studios;1;1;0;7;500000000;0;4.4;8856882;100;14;8;3;11
Pou;casual;zakeh;1;1;0;0;500000000;0;4.4;10866398;100;13;8;2;10
Jetpack Joyride;arcade;halfbrick studios;1;1;0;7;100000000;0;4.6;4784139;100;14;5;1;6
Zombie Tsunami;arcade;mobigame s.a.r.l.;1;1;0;7;100000000;0;4.5;5345775;100;14;7;2;8
My Talking Tom;casual;outfit7 limited;1;1;1;0;500000000;0;4.5;15819580;100;11;5;1;7
Flip the Gun - Simulator Game;arcade;playgendary;1;1;0;0;10000000;0;3.8;238479;100;20;13;8;34
Talking Tom Pool - Puzzle Game;puzzle;outfit7 limited;1;1;0;0;10000000;0;4.3;454464;100;12;7;4;15
Sonic Dash;arcade;sega;1;1;0;7;100000000;0;4.6;4354087;100;14;5;1;4
The Sims� Mobile;simulation;electronic arts;1;1;1;12;10000000;0;3.9;954351;100;26;16;9;26
Chess;board;chess prince;1;1;0;0;100000000;0;4.3;910457;100;22;9;3;10
Rush Kart Racing 3D;racing;world 3d games;1;1;0;0;5000000;0;3.8;1851;100;15;17;7;35
De wereld rond met Kaatje;board;cartamundi digital;0;0;0;12;10000;0;3.5;189;100;20;18;16;52
Woezel & Pip - De Sloddervos;educational;dromenjager;0;0;0;0;50000;0;3.3;110;100;18;22;14;68
Learn Spanish for Kids With Amy;educational;teachkidslanguages.com;1;0;0;0;10000;0;3.9;48;100;34;11;7;30
FIFA Soccer;sports;electronic arts;1;0;1;0;100000000;0;4.0;5927563;100;17;9;5;26
Kids Racing Islands, race for kids;racing;azul multimedia;1;0;0;0;100000;0;3.9;1397;100;22;11;2;34
Alfabeto - Spanish Alphabet Game;educational;teachersparadise.com;0;1;0;0;1000000;0;4.3;4032;100;28;16;5;10
FUT 18 DRAFT by PacyBits;sports;pacybits;0;1;0;0;10000000;0;4.6;416249;100;9;3;1;5
Rider;arcade;ketchapp;1;1;0;12;50000000;0;4.2;886565;100;21;11;4;16
FUT 18 PACK OPENER by PacyBits;sports;pacybits;0;1;0;0;1000000;0;4.7;118442;100;6;2;0;4
EA SPORTS� FIFA 19 Companion;sports;electronic arts;1;0;0;0;10000000;0;4.1;396425;100;18;7;4;24
Angry Birds Blast;puzzle;rovio entertainment corporation;1;1;0;0;10000000;0;4.5;280404;100;23;8;2;5
Two Dots;puzzle;playdots;1;1;0;0;10000000;0;4.6;704157;100;27;7;1;3
Angry Birds Rio;arcade;rovio entertainment corporation;1;1;0;0;100000000;0;4.4;2763301;100;15;8;2;8
Block Puzzle Jewel;puzzle;hua weiwei;0;1;0;0;100000000;0;4.3;1067461;100;22;12;4;10
Woord Snack;word;apnax games;1;1;0;0;1000000;0;4.4;36797;100;45;13;2;4
Word Connect - Word Games Puzzle;word;magic word games;1;1;0;0;10000000;0;4.6;29657;100;13;5;1;3
Word Link;word;worzzle games;1;1;0;0;50000000;0;4.5;495233;100;13;5;2;9
Hello Stars;puzzle;fastone games;1;1;0;7;50000000;0;4.4;567668;100;9;5;3;11
Really Bad Chess;board;noodlecake studios inc;1;1;0;0;1000000;0;4.4;23002;100;26;8;3;7
Wood Block - Music Box;puzzle;<u+0433><u+043e><u+043b><u+043e><u+0432><u+043e><u+043b><u+043e><u+043c><u+043a><u+0430> world studio;0;1;0;0;10000000;0;4.4;315288;100;23;12;4;8
The Maze Adventure VR;adventure;appteeka vr games;1;1;0;16;500000;0;3.3;1701;100;27;22;12;73
Woody � Block Puzzle;puzzle;free block puzzle games inc;1;1;0;0;10000000;0;4.6;186208;100;25;5;2;4
Unbalance;puzzle;tvee;1;1;0;0;100000;0;3.8;1033;100;56;28;10;28
VR Roller Coaster Crazy Rider & Adventure Thrills;simulation;coloring by number - pixel art games : next tech;1;1;0;0;100000;0;4.1;4456;100;27;15;6;18
Drive Ahead!;racing;dodreams ltd.;1;1;0;0;50000000;0;4.4;1185676;100;11;5;2;12
Harry Potter: Hogwarts Mystery;adventure;jam city, inc.;1;0;0;12;10000000;0;4.2;1591432;100;24;10;5;15
Lucky Day - Win Real Money;casino;lucky day entertainment, inc.;0;1;0;12;10000000;0;4.6;733248;100;6;3;1;8
Monument Valley;puzzle;ustwo games;1;0;0;0;1000000;2.99;4.8;214858;100;5;1;0;1
2048;puzzle;r. apps;1;1;0;0;1000000;0;4.5;14414;100;24;9;2;6
Drive Ahead! Sports;sports;dodreams ltd.;1;1;0;0;10000000;0;4.2;125609;100;15;10;5;18
2 Player Reactor (Multiplayer);puzzle;cool cherry trees;0;1;0;0;10000000;0;4.2;170061;100;21;10;4;18
Gardenscapes;casual;playrix;1;1;0;0;100000000;0;4.4;6468752;100;19;6;2;10
Baby Games;educational;happy baby;1;1;0;0;500000;0;3.9;1046;100;12;16;16;22
Frankie's Baby Fireworks!;casual;mykaelos;0;0;0;0;100000;0;4.4;501;100;11;2;2;11
Baby puzzles;educational;appquiz;1;1;0;0;10000000;0;4.2;17076;100;19;10;6;17
Maps of All Countries in the World: Geography Quiz;trivia;andrey solovyev;0;1;0;0;500000;0;4.5;5242;100;19;7;2;8
splix.io;strategy;jesper the end;0;1;1;0;1000000;0;3.1;66069;100;19;15;9;93
Doodle Jump;arcade;lima sky llc;1;1;0;0;50000000;0;4.5;1105103;100;14;6;1;7
Capitals of All Countries in the World: City Quiz;educational;andrey solovyev;0;1;0;0;5000000;0;4.4;29289;100;18;8;3;8
US Presidents and Vice-Presidents - History Quiz;trivia;andrey solovyev;0;1;0;0;100000;0;4.7;399;100;17;3;0;2
Flags of All Countries of the World: Guess-Quiz;trivia;andrey solovyev;0;1;0;0;1000000;0;4.2;33184;100;24;15;6;14
Diggy's Adventure: Escape this 2D Mine Maze Puzzle;adventure;pixel federation games;1;1;0;0;10000000;0;4.5;357775;100;21;6;2;6
Family Zoo: The Story;puzzle;plarium  llc;1;1;0;0;5000000;0;4.4;17282;100;19;9;4;9
Dino Quest - Dinosaur Discovery and Dig Game;strategy;tapps games;1;1;0;0;5000000;0;4.1;49207;100;20;14;5;19
Piggy Boom;casual;aladin interactive;1;0;1;0;5000000;0;4.5;142919;100;9;5;2;7
Pixel Art: Color by Number;puzzle;easybrain;1;1;0;0;50000000;0;4.6;1521478;100;17;6;2;5
Solitaire;card;me2zen solitaire card free games;0;1;0;0;5000000;0;4.7;149237;100;17;4;1;2
Merge Town!;puzzle;gram games limited;1;1;0;0;1000000;0;4.2;42118;100;19;10;5;15
Doc McStuffins: Baby Nursery;role playing;disney;1;0;0;0;1000000;0;3.8;11219;100;12;8;9;37
Picross TwoColor - nonograms;puzzle;coworkdream;0;1;0;0;100000;0;4.4;2716;100;44;9;4;7
Coin Master;casual;moon active;1;1;0;12;50000000;0;4.1;1876533;100;19;9;4;22
Picture Cross;puzzle;appynation ltd.;1;1;0;0;1000000;0;3.8;1912;100;36;18;10;36
Sea Port: Ship Trade and Strategy Simulator;simulation;pixel federation games;1;0;0;0;5000000;0;4.3;14493;100;32;11;4;12
Wild West: New Frontier. Build your super farm.;simulation;social quantum ltd;1;1;1;0;1000000;0;4.2;73655;100;24;13;6;14
Magic Kinder Official App - Free Kids Games;educational;ferrero trading lux s.a.;0;0;1;0;5000000;0;4.0;76584;100;11;8;5;26
Black Stories;puzzle;flexsoft;1;1;0;7;100000;0;4.0;1148;100;40;14;8;24
Slitherlink;puzzle;ejelta llc;1;0;0;0;100000;0;4.5;3335;100;17;7;2;7
Flow Free: Hexes;puzzle;big duck games llc;1;1;0;0;5000000;0;4.6;33621;100;18;4;2;5
Hay Day;casual;supercell;1;1;1;0;100000000;0;4.6;10907474;100;13;5;1;6
Cooking Fever;arcade;nordcurrent;1;1;0;0;100000000;0;4.4;3848934;100;18;8;3;8
Rise Up;arcade;serkan �zyilmaz;1;1;0;0;100000000;0;3.9;1226091;100;20;16;8;27
Piano Tiles 2�;arcade;cheetah games;1;1;0;0;100000000;0;4.5;8386125;100;12;5;2;8
RollerCoaster Tycoon� 4 Mobile;simulation;atari, inc.;1;1;1;0;10000000;0;4.0;294035;100;20;13;6;22
PACYBITS FUT 19;sports;pacybits;0;1;0;0;10000000;0;4.6;888856;100;13;4;1;5
Race Day - Multiplayer Racing;racing;bertheussen it;1;1;1;0;5000000;0;4.4;64194;100;13;6;2;10
Star Wars�: Galaxy of Heroes;role playing;electronic arts;1;0;0;12;10000000;0;4.4;1552601;100;21;6;2;9
Hearts;card;karman games;1;1;1;0;1000000;0;4.4;48934;100;30;7;2;9
Classic Words Solo;word;lulo apps;1;1;0;0;5000000;0;4.4;151672;100;37;9;2;5
Modern Combat 5: eSports FPS;action;gameloft se;1;1;1;16;100000000;0;4.2;3230260;100;16;8;4;16
N.O.V.A. Legacy;action;gameloft se;1;1;1;7;50000000;0;4.2;1285108;100;19;10;4;18
Make More! � Idle Manager;casual;bad crane;1;1;0;0;10000000;0;4.5;532208;100;14;7;2;7
Fight List - Categories Game;trivia;voodoo;1;1;1;0;10000000;0;4.2;257839;100;35;12;6;13
Famous Composers of Classical Music: Portrait Quiz;trivia;andrey solovyev;0;1;0;0;10000;0;4.4;224;100;25;3;7;5
Trivia Crack;trivia;etermax;1;1;1;0;100000000;0;4.3;6792891;100;27;11;3;13
European Countries - Maps, Flags and Capitals Quiz;trivia;andrey solovyev;0;1;0;0;500000;0;4.4;6459;100;21;8;4;7
Dr. Parking 4;racing;sud inc.;1;1;1;0;50000000;0;4.1;592132;100;16;11;6;19
SongPop 2 - Guess The Song;music;freshplanet;1;1;1;16;5000000;0;4.1;1293;100;19;11;6;19
Pocket Tanks;strategy;blitwise productions, llc;1;1;1;7;5000000;0;4.5;158241;100;14;6;2;8
Asphalt 8: Airborne - Fun Real Car Racing Game;racing;gameloft se;1;1;0;7;100000000;0;4.5;8922179;100;11;4;2;9
Chess � Play & Learn;board;chess.com;1;1;1;0;10000000;0;4.6;250205;100;17;4;2;6
Sniper 3D Gun Shooter: Free Fun Shooting Games;action;fun games for free;1;1;0;18;100000000;0;4.5;11059378;100;22;9;2;5
Bricks Breaker Puzzle;arcade;mobirix;1;1;1;0;10000000;0;4.4;8867;100;26;11;3;7
Ace Fishing: Wild Catch;sports;com2us;1;1;1;12;10000000;0;4.4;1359119;100;21;10;3;8
Golf Star�;sports;com2us;1;1;1;12;10000000;0;4.2;452098;100;31;11;4;17
WWE Champions 2019;role playing;scopely;1;1;1;12;10000000;0;4.0;325466;100;18;11;6;26
SUP Multiplayer Racing;racing;oh bibi;1;1;0;0;10000000;0;4.4;316547;100;11;5;3;9
Mini Golf King - Multiplayer Game;sports;pnix;1;1;1;0;10000000;0;4.3;700248;100;32;12;3;9
Trial Xtreme 4: extreme bike racing champions;racing;deemedya inc;1;1;0;0;10000000;0;4.3;676159;100;17;8;2;13
Baseball Boy!;arcade;voodoo;1;1;0;0;10000000;0;3.8;210884;100;29;20;11;31
Mad Skills BMX 2;action;turborilla;1;1;0;0;10000000;0;4.2;65152;100;21;9;5;14
Rummy World;board;p-kama;1;0;0;0;100000;0;3.7;3488;100;25;15;12;38
MMX Hill Dash;racing;hutch games;1;1;0;0;10000000;0;4.6;272322;100;19;5;1;5
War Machines: Free Multiplayer Tank Shooting Games;action;fun games for free;1;1;1;12;10000000;0;4.4;766093;100;10;5;3;10
Block Breaker King;puzzle;mobirix;1;1;1;0;100000;0;4.3;1644;100;28;19;1;10
Slices;arcade;good job games;1;1;0;0;10000000;0;4.4;163866;100;31;10;4;9
3D Room Escape-Puzzle Livingroom 4;puzzle;quicksailor;0;1;0;0;100000;0;3.5;723;100;26;35;15;44
Merge Plane - Click & Idle Tycoon;simulation;merger games;1;1;0;0;50000000;0;4.6;2164085;100;9;5;2;6
Hello Cats;puzzle;fastone games;1;1;0;7;10000000;0;4.3;213601;100;12;8;3;13
Tap Tap Dash;arcade;cheetah games;1;1;0;0;50000000;0;4.4;1107340;100;17;9;3;10
Bob - jigsaw puzzles free games for kids & parents;puzzle;goodsofttech;1;1;0;0;5000000;0;4.3;17737;100;25;11;5;11
Episode - Choose Your Story;simulation;episode interactive;1;1;1;12;50000000;0;4.2;2559980;100;25;12;4;15
Cooking Madness - A Chef's Restaurant Games;arcade;girl games - cooking games;1;1;0;0;10000000;0;4.7;1290431;100;11;4;1;3
Flight Pilot Simulator 3D Free;simulation;fun games for free;1;1;0;0;50000000;0;4.4;2368941;100;22;10;2;9
Ultimate Car Driving Simulator;racing;topracing games;1;1;0;0;10000000;0;4.1;264854;100;17;11;6;18
2048;puzzle;s2apps.com;0;1;0;0;10000000;0;4.6;105679;100;22;7;2;3
Flow Free;puzzle;big duck games llc;1;1;0;0;100000000;0;4.5;1349960;100;17;6;1;6
Real Pool 3D FREE;sports;eivaagames;0;1;0;0;1000000;0;4.3;2288;100;31;11;5;8
Pool Billiards Pro;sports;terrandroid;1;1;0;12;100000000;0;4.4;1430354;100;18;12;2;7
RISK: Global Domination;board;smg studio;1;1;0;7;5000000;0;4.6;124405;100;14;3;2;5
Lines - Physics Drawing Puzzle;puzzle;pocketland;1;1;0;0;1000000;0;4.6;81867;100;23;5;1;3
Construction Simulator 2014;simulation;astragon entertainment gmbh;1;0;0;0;1000000;0.99;4.4;106292;100;16;7;2;9
Looper!;puzzle;kwalee ltd;1;1;0;0;10000000;0;4.4;327185;100;11;7;4;11
Ignis - Brain Teasing Puzzle Game;puzzle;narcade;1;1;0;0;1000000;0;4.0;8836;100;37;19;9;22
